id,dose_clusters
STIEFEL_24,3
STIEFEL_26,3
STIEFEL_28,2
STIEFEL_34,3
STIEFEL_36,2
STIEFEL_38,3
STIEFEL_42,2
STIEFEL_45,3
STIEFEL_47,2
STIEFEL_54,3
STIEFEL_55,2
STIEFEL_60,3
STIEFEL_65,2
STIEFEL_66,1
STIEFEL_70,1
STIEFEL_73,1
STIEFEL_76,1
STIEFEL_78,1
STIEFEL_80,3
STIEFEL_83,2
STIEFEL_85,3
STIEFEL_87,2
STIEFEL_88,2
STIEFEL_89,3
STIEFEL_90,2
STIEFEL_91,3
STIEFEL_93,2
STIEFEL_94,3
STIEFEL_95,1
STIEFEL_98,3
STIEFEL_99,0
STIEFEL_101,2
STIEFEL_103,0
STIEFEL_105,3
STIEFEL_108,3
STIEFEL_109,3
STIEFEL_110,0
STIEFEL_112,2
STIEFEL_118,3
STIEFEL_121,3
STIEFEL_122,1
STIEFEL_127,3
STIEFEL_128,1
STIEFEL_1477,3
STIEFEL_132,2
STIEFEL_137,3
STIEFEL_141,2
STIEFEL_1480,3
STIEFEL_147,3
STIEFEL_148,0
STIEFEL_149,3
STIEFEL_151,0
STIEFEL_152,1
STIEFEL_153,2
STIEFEL_156,2
STIEFEL_157,1
STIEFEL_158,2
STIEFEL_160,3
STIEFEL_161,3
STIEFEL_164,3
STIEFEL_165,1
STIEFEL_167,1
STIEFEL_170,3
STIEFEL_171,3
STIEFEL_173,3
STIEFEL_175,3
STIEFEL_180,2
STIEFEL_183,3
STIEFEL_1486,3
STIEFEL_186,3
STIEFEL_189,2
STIEFEL_193,3
STIEFEL_202,2
STIEFEL_206,2
STIEFEL_207,2
STIEFEL_208,3
STIEFEL_212,2
STIEFEL_213,2
STIEFEL_215,2
STIEFEL_217,2
STIEFEL_219,1
STIEFEL_225,3
STIEFEL_229,2
STIEFEL_234,3
STIEFEL_235,3
STIEFEL_238,3
STIEFEL_239,1
STIEFEL_243,3
STIEFEL_244,3
STIEFEL_245,2
STIEFEL_247,3
STIEFEL_248,2
STIEFEL_253,3
STIEFEL_255,1
STIEFEL_264,2
STIEFEL_265,1
STIEFEL_266,3
STIEFEL_267,1
STIEFEL_272,3
STIEFEL_281,2
STIEFEL_283,3
STIEFEL_292,3
STIEFEL_298,2
STIEFEL_300,2
STIEFEL_301,3
STIEFEL_305,2
STIEFEL_307,3
STIEFEL_314,3
STIEFEL_319,3
STIEFEL_321,2
STIEFEL_326,1
STIEFEL_331,2
STIEFEL_336,0
STIEFEL_340,2
STIEFEL_343,2
STIEFEL_347,1
STIEFEL_350,3
STIEFEL_351,2
STIEFEL_355,2
STIEFEL_356,1
STIEFEL_358,2
STIEFEL_360,3
STIEFEL_367,3
STIEFEL_368,1
STIEFEL_372,1
STIEFEL_373,2
STIEFEL_378,3
STIEFEL_380,1
STIEFEL_381,3
STIEFEL_384,1
STIEFEL_385,3
STIEFEL_387,2
STIEFEL_392,2
STIEFEL_394,3
STIEFEL_400,2
STIEFEL_404,2
STIEFEL_405,3
STIEFEL_1507,3
STIEFEL_409,3
STIEFEL_411,2
STIEFEL_413,2
STIEFEL_415,1
STIEFEL_1508,1
STIEFEL_417,2
STIEFEL_418,3
STIEFEL_1509,3
STIEFEL_420,3
STIEFEL_422,2
STIEFEL_423,2
STIEFEL_427,3
STIEFEL_1512,2
STIEFEL_429,3
STIEFEL_432,2
STIEFEL_436,1
STIEFEL_444,3
