id,dose_clusters
STIEFEL_8,3
STIEFEL_24,2
STIEFEL_26,3
STIEFEL_28,2
STIEFEL_34,3
STIEFEL_37,0
STIEFEL_38,2
STIEFEL_42,2
STIEFEL_45,2
STIEFEL_47,2
STIEFEL_51,3
STIEFEL_53,2
STIEFEL_54,3
STIEFEL_55,2
STIEFEL_58,3
STIEFEL_60,2
STIEFEL_65,0
STIEFEL_66,2
STIEFEL_70,0
STIEFEL_71,0
STIEFEL_73,2
STIEFEL_74,0
STIEFEL_76,2
STIEFEL_78,2
STIEFEL_80,2
STIEFEL_81,2
STIEFEL_82,3
STIEFEL_83,2
STIEFEL_85,3
STIEFEL_87,2
STIEFEL_88,2
STIEFEL_89,2
STIEFEL_90,2
STIEFEL_91,3
STIEFEL_93,2
STIEFEL_94,3
STIEFEL_95,2
STIEFEL_96,3
STIEFEL_98,3
STIEFEL_99,0
STIEFEL_101,2
STIEFEL_103,0
STIEFEL_105,2
STIEFEL_109,3
STIEFEL_110,0
STIEFEL_112,2
STIEFEL_116,3
STIEFEL_117,3
STIEFEL_118,3
STIEFEL_120,2
STIEFEL_122,2
STIEFEL_126,3
STIEFEL_127,3
STIEFEL_128,2
STIEFEL_1477,3
STIEFEL_132,2
STIEFEL_136,0
STIEFEL_141,0
STIEFEL_1480,2
STIEFEL_145,2
STIEFEL_147,3
STIEFEL_148,0
STIEFEL_149,3
STIEFEL_151,0
STIEFEL_152,0
STIEFEL_153,3
STIEFEL_156,2
STIEFEL_157,2
STIEFEL_158,2
STIEFEL_160,3
STIEFEL_161,3
STIEFEL_165,2
STIEFEL_167,2
STIEFEL_170,3
STIEFEL_171,3
STIEFEL_173,2
STIEFEL_175,2
STIEFEL_177,2
STIEFEL_180,2
STIEFEL_183,2
STIEFEL_1486,3
STIEFEL_186,3
STIEFEL_189,0
STIEFEL_192,3
STIEFEL_194,3
STIEFEL_201,3
STIEFEL_202,0
STIEFEL_205,2
STIEFEL_206,2
STIEFEL_207,2
STIEFEL_208,3
STIEFEL_212,2
STIEFEL_213,2
STIEFEL_215,0
STIEFEL_217,2
STIEFEL_219,2
STIEFEL_225,3
STIEFEL_227,2
STIEFEL_229,2
STIEFEL_234,3
STIEFEL_235,3
STIEFEL_238,2
STIEFEL_239,0
STIEFEL_243,2
STIEFEL_244,2
STIEFEL_245,2
STIEFEL_247,2
STIEFEL_248,2
STIEFEL_253,3
STIEFEL_255,2
STIEFEL_264,2
STIEFEL_265,2
STIEFEL_266,3
STIEFEL_267,2
STIEFEL_272,3
STIEFEL_281,0
STIEFEL_283,2
STIEFEL_292,3
STIEFEL_298,2
STIEFEL_300,2
STIEFEL_301,3
STIEFEL_307,2
STIEFEL_311,0
STIEFEL_314,2
STIEFEL_319,2
STIEFEL_321,0
STIEFEL_326,2
STIEFEL_331,2
STIEFEL_336,0
STIEFEL_340,2
STIEFEL_343,2
STIEFEL_347,2
STIEFEL_350,2
STIEFEL_351,0
STIEFEL_355,2
STIEFEL_356,2
STIEFEL_358,2
STIEFEL_360,2
STIEFEL_364,2
STIEFEL_367,2
STIEFEL_368,2
STIEFEL_373,2
STIEFEL_377,0
STIEFEL_378,3
STIEFEL_380,2
STIEFEL_381,2
STIEFEL_384,0
STIEFEL_385,2
STIEFEL_388,0
STIEFEL_392,2
STIEFEL_394,2
STIEFEL_400,0
STIEFEL_404,2
STIEFEL_1507,3
STIEFEL_409,3
STIEFEL_411,2
STIEFEL_413,0
STIEFEL_415,0
STIEFEL_1508,0
STIEFEL_417,0
